sequence,lamella_period
CBCCBCBCBCBCCBBBCCCCBCBBCCCCCCBB,15.4815121092
BCCCCCCCBCCCCCCCCCCCBCCCBBCCCCCC,15.9015782144
CCCCCCCCCCCCCCCCBCCCCBCCCCCCCCBB,15.9690947875
BBBBBBBBBBBBBBBBBBBBCCCCCCCCCCCC,18.24456959291
CCCCCCBCCCCBCCCCBCCBBCCBBCBCBBCC,15.7074538553
CBBBCCBBBBBBBBBBBBBBBBBBBCCCCCBB,14.95478708461
BBBBBCCCCBBBBBBBCCCBCBBBCCCCCCBB,14.80445906861
CBBBBBBCCBBBBBBCCCBBBBCBBBBBBCCC,15.02794068341
CCBBBCCCCBBCBBBCBBBBBBCCCBBBBBBB,15.22643172981
CBBCCCBCBCCCCCCCBCCCCBBBBBBBCCCC,15.46137255811
BBCBBCCCCCCCBCBBBBCCBCCCCCCCBBBB,14.7080268455
CCBBBBBBBBCCBBBBBBBBBBBBCCCCCCCB,15.18273690911
CCCCCCCCBCBCBBBCBCCCCBCBCCCBCBCC,15.2182488684
CBBCBBCBBBCBCBBBCCBCBCBCBCBCCCBB,14.68051875051
BCCCBCCCCBBBCCBBCCBBBCCCCCCBCCCB,14.9809244808
CCBCCBCCCBCBBCBBCBCBBCBCBCBBCBBC,14.80445434761
CCCCBBBBBBBBBBBCBBBBBCBBBCCCCCCC,15.191835201
CBBBBBBBBCBCBCCCCBCBCCCCBCBBBBBC,15.27949703331
BBBBCBBCBCCCCCBBCCCCCCCCCCCBCCBB,15.81629962871
CBCCBBBBCCCCBBBBCCCBBBBBBBBCCCBB,15.078682831
CCCCCCCCCCCCCBBBBBBBCCCCCBBBBBBB,16.3969411801
CBCBCBCBCBBBBCBCCBBBCBBCBCBCBCCB,14.5630605359
BBBBCCCBBBBBBBBCCCCCCCCCCCCCBCCC,16.80336525571
CCCBCCCCBCCCBBCBBCCCBBBBBBBBBCCC,15.5669027724
CBBCBCBCBBCBCBCBCBCBCBCBBCBCBCBC,14.63871735151
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,15.29019895951
BBBBBBBBBCCCCBBBCCCCCCCCCCCCCCCC,17.3750333091
BBBBCCCBBBCBBCBBCCCCCBBCCCBBCCBB,15.2662468331
