sequence,lamella_period
CBBCBCBCBBCBCBCBCBCBCBCBBCBCBCBC,14.63871735151
BBCBBCCCCCBCBCCBBCCBBBCBBCCCBBBC,14.7072004477
CCBCCBCCCBCBBCBBCBCBBCBCBCBBCBBC,14.80445434761
BCCBBCCCBCBCBBCCCBBCBBBCCBCCCCBB,14.7145603116
CCCCCCCCBCBCBCCBCBBCCCCBCCBCBBCB,15.1610138925
CBCBCCCBCCBBBCCCBCCBCCBCBBBBCCCC,14.9325122798
CCBCBBCBCBCBCCBCBCBCBBCCCCCCCCCC,15.54130323291
BCCBBCCBCBCBBCBCBCCCCBBBCBCBBBCB,14.5904139339
BCCCCBCCCBCBCCBBCBCCCCBCCCBBCBCC,15.094494921
BBCCCCBBBBCCBBCCCBCCCBCCBCCCCCCC,15.6749693967
CCCCCCCCCCCCCCCCBBCBBCBBCBCBBBCB,17.0218740085
BBBCCBCCCCCCCCBBBCCBCBCBCCCCCCCC,15.57358544651
CCCCCCBCCCBBCCCCCCCCBCCCBBCCBBCC,15.316243031
BBCCCCCCCCBCCBCCCCCCCCCCBCCCCCCC,16.2170031068
CCCCCCCCCCCCCCBCCCCCCCCCCCCCCCCB,16.0955807285
BBBCCBCCBBCBCCCBBCCCCBBBBCCBCCCC,15.09717605151
BBCCCCCBBCCCCCCCCCCCBCCBCCBCBBBC,15.0021833454
CCBBCCBCCCCBCCBBCBCCBBCBCBBBBBBB,15.05747850041
BCBCCCCBCBCCBBCBCCBCBBBBCCCBCBCB,14.74951352251
CCCBCBBCCCCCBCBBBBCCBCCBCCCBBBCB,14.7916225164
CBCCBBBCBCCBCCBBCCCCBBBCCBCBBCCC,14.8771535128
BCBCBCBCBBBBBBCCCCBCBCBBBCCCCBBB,14.630746481
BCBBBCCBBCBCBBCBBBCBCBCBCCBBCCBB,14.58690153891
BCBCCBCBCCBBCBCBCCBCBCBBBBCCCBCC,14.79179172481
BCCCBCCBCCCCBBCCBBBCCBBBCBCBCBCC,14.9106592627
CBCCCCCBCCBBCCCCCBBCCBBBBCBCBCCB,14.9727796034
BCBBBCCCBCCCBCCCCCCCCBCCCCCCCBBC,15.69338249941
BCBBBCBCCCCBCCCCCCBCBCBCCCCBCCBC,15.44252685041
BBCCBCCCBCCCCCBCCBCBBBCCCCCCBCCC,15.3992105705
BCCCCCCCCCCBBCBBCCCCCCBBCCCCBBBC,15.1845307076
CCCCBBBCCBCCCCCCBBBBCBCCCCBCCBCB,14.8947531129
CCCCCCCBCCCCCCBCCCCCCCCBCCBBCCBC,15.5481616686
CCCCBCCBCBCCCCCCBCCCBCCCCCCCCCBC,15.7017528301
BCBCCCBBBBBCCCCCBBCCCBCBBBCBBCCB,14.68351898031
CCCCBBCCCBBBBCCCCBCBBBCBBBBBBBBB,15.490595337
BBCBCCCCCBBCBCCCBBCBBBCCCCBBCBCB,14.7416810992
BCBCBBBCBBCCBBCCCCBCCCBBBBCBBCCC,14.85639318151
CCCCBCCCBCBCCCBBBCCBBCBBBBBBCCCC,15.1142932668
CCCBCBBBBCCCBBBCCCBBBBBBCCCCBBCC,14.7128723671
CBBBBBCBCBCCCCBBBBBBBCCBCCBBCBCC,14.71461089151
CCCBCCCBCCCCBCBBBBCCBCCCBBCBBCBB,14.9820588596
BCBCBBCCBCBCCBCCBBCBBCCBBBCBBCCC,14.75705435071
BBCCCCBCCBCBCBCBCCCCBCCBCBBCCCBC,15.0676335402
CCBCBCBBCCBBCCBCCCCCCCCCBCCCBCCB,15.32330584691
BCCBBCBCCBCBCBCCBCCCCBCCBCBBBCCC,15.0174598934
BBCBBCBCBCBCBCCCBBBCCBCCCCBBCBBB,14.6332217336
BCCBBCBCBCCBCBCCCBCBBBBCCCBCBCBB,14.6400086806
BCBCBCBBCCBCCCCCBCCCBCCCBCCCCBCC,15.67370009591
CCBBBCBCCCBBCCCCBCCCCBCBCBCBCCCB,15.01226156081
BBBCCBBBBBBBBBBBBBCBCCBBCBCBCCCC,15.13477885851
CCCCCBCBBBCCBCCCBCCCCCBCCCCCCBBC,15.2402963511
BBBBBBCCCBBBCCCCCCCBBCCCBBBCCCCC,15.69723418011
CBCBBCCCCBCCCCBBBBCCCBBBBBCBBBBC,14.8829625941
CCCCCBBCCCCBBCCBBBCCCCBBCCCCCCCC,15.3222100184
BBBBBCBBCCCCCCCBCCCCBCCBBBBBCBBC,14.72398441561
BBCCCCBBBBCBCBBCCCCCCBCBCCCBCBBC,14.9058565202
CCCCCCBBCCCCCBCBCCCCCCCCCBCCCCCB,15.5412969857
BCCCCCCCCCCCBBBBBBBCCCCCCCCCBBBC,15.220876261
CCCCCBBCCCCCBCCCCCCCCCCCCCCCCCCC,16.3773107167
BBBBBCCCCBBBBBBBCCCBCBBBCCCCCCBB,14.80445906861
BBBBCCCBBBBBBBBBBBBBBBBBBBBBBBBC,14.97157031121
BBBBCCCBBBBBBBBCCCCCCCCCCCCCBCCC,16.80336525571
CBBBBBBBBCCCCCCCCCCBBBBCCCCCCCCC,16.17294577311
CCCBBBBBBBBBCCCCCCCCCCBBBBBCCCBB,14.8057045004
CCCCCBBBBBBBBBBBBBBBBBBBBBBBBCCB,15.3756867195
BBBCCCBCBBCBCBCCCCCCCCBBBBCBCCCB,14.90702619921
CBCBCCCBBBCCBBBBBCCCBCCCCBBBCCCB,14.7495868523
BBCCCCBBBBCCCBCCCCCCCCBCCCCCCCBB,15.3359363558
BCCCCCBCBCCCCCCBCCCCBCCCBCBCCBBB,14.8708202859
CBBBCCCCCCCCCCCCBBCCBBCBCBBBCCBC,15.01536148621
BBBBCBCCCCBBBCCBCBCCCCCCBCCCCCCC,16.18611749261
BCCCCCCCCCBCCCBCCBCBBCCCCCCCBCCC,15.6285011714
BCCCBCCCCCCBCCCCBCCCCCBCCBCCCBCC,15.6241478857
BCCCCBBCCCCBCBCBCCCCBCCBCCBCCCCB,15.1734096381
BCCCCCCCBCCCCCCCCCCCBCCCBBCCCCCC,15.9015782144
BBCCCCCCCCCCBCCCCCCCBBBCCCCCCCBC,15.6424942465
CCBBCBCCCBBCCCCBCBCCBCCCCCCCBCBC,15.342421931
BCBCBCCCCCCBCCBBCBCCCCCBCCBCCCCC,15.52432726171
CBCBCBBCBCBCCBBCCCCCBCCCCCCBCCBC,15.482456389
CBCBCCCCCBCBCBCBCCCCBCCCCCCCCCCC,15.9183092564
CCCCCCCCBCBCBBBCBCCCCBCBCCCBCBCC,15.2182488684
CBBCCBBCBBBCBCBCCCBCBCBBCBBCBCBB,14.56353094041
CBCBBCBCBCBCBBBCBBCBBBCBBCBCCBCB,14.5839041819
BCBBBCBBCBCBCBCCBBBCBBBBCBCCBCBC,14.61983733761
BBCBCBCBCCBBCBCBCBCBCBCBCCCBCBCB,14.7399100234
CBBCBCBCBCBCBCBCBBCBCBCBCCBCBCBB,14.58264256971
CBCBCBCBCBCBCBCBBCBCBBBCBCBCBCCB,14.6437640274
BCBBCBCBBBCBBCBCBCBCBCBCBBCBCBBC,14.61598037671
BCBCBBCBCBCBCBCBCBBCBCBCBCBCBBCB,14.58021931251
CCCCBBCBBCCCBCBCBBBBBBCCBBCBBBCB,14.8820725355
BCCCCBBBCCCBBBCBBBBBCBBBBCCBBBCC,14.6831167282
CCCCBBCCCCBCBBCCCCCCCCCBBBBBBCBC,14.8998738655
CCCCCCCBBBBCCBCCBBCBCCBBCBBCCCCB,14.9701361745
CCCBBBBBBBCCCCBBBCCBCCBBBCCBCBBB,14.5615246827
CBBBCCBCBBCCCBCCCCBBCCCCCBCBBBBB,14.56579353471
BBCCBBBCCCBBBBBCCCCBCBCCCBBCCBBB,14.6373195432
BBCCBBBBCCCCBBBCBBBBCBCBBBCCBCCC,14.6741004211
CBCCBCCCCBBCBCCBBBCBCBCBCCCCBBCB,14.7770468698
BCCBCCCBCCBCBBBBCCBCCBBCBCBBCBCC,14.7926547913
BCBCBCBBCBCCBCBCBCCBBCBCBCBCCBBC,14.72232538031
BBCCCBBBBCCCCBCBCCBBCBCCBBBBCCCC,14.8573066085
BBBCBCBCBCCBCCBBBBCCBCCCBBCBCBCC,14.9525502951
CBBCCBCCCBBCCBCCCCCBCBBCCBCBBCBB,14.68791163721
CCCBCBBCBCCBCBCCBCBCBBCBBCBCCCBB,14.6756675594
BBBBCCBCBCBBBBBCBCBBCBBBCBCCCCBC,14.74793936591
CCCBBBCCCCBBBCCBBBBCCCCCBBCCCBCB,14.7789992801
BCCCBCCCCBBBCCBBCCBBBCCCCCCBCCCB,14.9809244808
BBBBCCCBBBBBBBBBCCCBCBCCCCCCBCBB,14.99389838921
BBCBBCCCCCCCBCBBBBCCBCCCCCCCBBBB,14.7080268455
BCCBCCBCBCBBBBCBCCCCCCBCCBCCCCCC,15.5485833259
CCCBBCCCCCCCCCCCBCCCBCBBCCBCCCCB,15.2488691001
BBCCCCCBCCBCBCBCCBBBBCCCCBCCCCCC,15.2173360473
CCCCBCCCBCBCBCBBCCCCCBBCCCBCCCCC,15.3433922057
BBCBCCCBCCCBBCBCBCCBBCCBCCCCCBBB,15.4220635067
BBCBCBBBCBCBBCCBCCCBBBBBBBCBBBBC,15.1675290003
BBBBCBBCCBBCBBCBBCBBBBCBCBBCCBBC,15.24153779881
CBBBBBBBCBCBCCCCBCBBCBCBBBCCCCCB,15.52564671351
CBBCBCBBCCBCCBBCBCCBCCCBCBBCCBCC,15.58491256221
BCBCCCCBBBCCCBCCCBCCBCCBCCCBBCBB,15.4197301361
CBBCCBCBCBBBCCCCBCCCBBBBCCBBBCCB,15.30703547781
BBCCBCCCCBBBCBCBBBBBBBCCCCBBBBCC,15.3100961412
CBCBCBCBBCCCBCCBCCBCCCCBCBBCBBCC,15.5388536631
BCBCCCCBBCCBBBCCCCCBBCCBBBBBBBCC,15.37286645421
CBCCBCCCBCBBBBCCCBCCBBBCBCBCBBCB,15.3445689692
CBCBCBCCBCBCCBCBCCBCCBBBCCCCCCBB,15.4913129676
CCCCCBCBCBBCBCCBCBCBCBBCCBBBCCCC,15.5368671086
BBCCBBBBBCCCBCBBBBBBCBBCBBCBCCBB,15.1618476743
CBBBBBCCBBBCBBCBBBCBCBBCBCCCBBCB,15.24815735271
BBCBBCCBBCCCBBBBCCBBBCBCBCBBCBBB,15.1671742186
CCBCBCBBCBBBBCBBCCCCBBBCBBCBCCCC,15.405400511
BBCCBCCBCCBCBBBBCCCCBCCCBCCBBCCC,15.6413633999
CCBCBCCCBBBCBCBCBBBCBCCBBBBBCBCC,15.33969763981
BBCBBBCCCBBCCCBCBCBCBBCBCCBBBCBB,15.2344272064
CCCBCCCBCBCCBCCBBCBBCBBBCCBCBBCC,15.5219366665
CBCCBCBCBCBCCBBBCCCCBCBBCCCCCCBB,15.4815121092
BBCBCCBCBBCCBBCBCCCCBBCCBBCBCCCB,15.459410539
CCBBCCCBCBCCCBBBCBCBBBBCCBBCCBCC,15.41458381031
BBBCBBCBCCCCCCBCCCBBCBCCCBBCBBCC,15.60477843781
CCBCCCCCCBBBCCBBCCCCCBCCBCCBBCBB,15.47940979011
CBCBCCBCBBBBBBBBCBBCBCBBBBCBCCBB,15.1902515705
BCCCBCCCCCCCBCBBBCBCCCCCCCCCCBBB,15.583017733
BBBBCBBBBBCBBBCCBCBBBBBCCCCCBBBC,15.41047769531
BBBCCCCCCCBCCCBBBBBCBCCBCCCCBBBB,15.43188390681
CCCCCBCCCCCBCCCCCBCCBCBBCCBCCCBB,15.7243617416
BCCCBCBBCBCCCCCCBBBBCCBBBBBCBBCB,15.3435252355
BCBBCBCCBBCBBBBBBBCBCBCCCBBBBBCB,15.16831186081
CBCCBCBBBBBCBCCCCBBCCBCBBCCCBCCC,15.5872487968
CBBBBCCBCBBCBCBBBBCCBBCBCCCBBBBC,15.25283455731
CBCCBCCBCBCBBCCCCCBBCCCBBCBBBCBC,15.4256303496
BCBCBBCCCBBCBBBBCBCBCCBCBCBCCBBB,15.23209807131
CCBCCCCBCBBBCCCCCCBCCCBCCCCBCCCB,15.76045514781
BCBBCBBCCBBCBBBCCCCBCCCCCBBCCBCB,15.54957420831
CCCBBBBCCCBCBBBCBCCCCBBCBBCCCCBC,15.4875670384
BCBCBCCBBBCCCCBBBCBCCBCBCBBCCBCB,15.32598179671
BBBCBCBBBCBBCBBBBBCBCCBCBBCBBCBC,15.23831975361
BBBBCBBBBBBBCBCBCCBBBBCBBBCBCBBB,15.1720681651
BBCBCBBCBBCCBBCCCCCCBCBCBBBCCBCC,15.588358466
CCCBBCCBCCBBCCBCCBCCCCCBCBBCBCCB,15.5105640829
CBBCBBBCBBCCCBBBBBBCCCCCCBBBCBCC,15.44169761511
CCCBCBCCBCBCCCBCBBBBCBCBBCCCBBCC,15.4833421571
CCCBBBCCBCCBCBBCBCCBBBCCCCBBCBCC,15.4635551191
BCBCBCBBBBBCCCBCCBCCCBCBBCCCBBBB,15.28035116511
CBBCBBBCCCBBBCBBCCCCCBBBCBCBBBCC,15.36826597431
CBCCCBCBBCBBCCCCCCBCCBBCBBBCCCCC,15.6132687899
CCBBBBBCCBCBCCCCBCBCBCBBBBCBCBBB,15.18750873141
BCCBCBCBCBCCCCCBBBCBCBCCBCBCBBCC,15.4616941871
CCBBCBCCBBBCBCBCCBCCBCCBBBCCCCBC,15.51917964731
BBCCBCCCCBBCBBCBBBBCCBCBCBBCBBCB,15.301085462
CBBCBBCBBCBCCCCBCBCBCBBBCCBBCCBC,15.40252342151
BBBCCCBCCBBCBBBCBBCCBCCCCCBBCBBC,15.4052462571
CBBBBCBBCCBCCCBBCBCBCBBCCCCCCBCB,15.55529446231
CBBBBBCCBCCBCBCCBBBCCCBCCBBCBCBC,15.45695059631
CCBCCBBBBCCBBCCBCCBCBCBCCBBCBBBC,15.31700191721
BCBCCBBCCBCCBCCBBBCCBCCCCBBCBBCB,15.36158912971
